,,,,Stay,,,,,,Leave,,,,,,Experts,,,,,,,,
,,,"Yes, because the UK gets back less than it pays due to programmes like the cohesion policy.",NA,,NA,,NA,,Yes (20),,Yes (20),,Yes (20),,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,,,"No, because the economic damage of leaving the EU would decrease tax revenue and dwarf any budget savings.",NA,,Yes (20),,NA,,NA,,NA,,NA,,,,,,,,,,
,,,"No, because the UK gets this money back through different EU programs and the economic boost from single-market access.",No (20),,Yes(20),,Implied (10),,NA,,NA,,NA,,,,,,,,,,
,,,"No, because of the UK Rebate, developmental aid obligations, and the amount returned, the UK's contribution is not much different than what it would pay to maintain access to the single market.",No (20),,Yes(10),,Yes (20),,NA,,NA,,NA,,,,,,,,,,
,,,No,No (10),,Yes (10),,Yes (10),,NA,,NA,,NA,,,,,,,,,,
3,Leaving the EU would significantly increase unemployment in the UK.,Economics,Yes,Yes (10),,NA,,Yes (10),,NA,,NA,,,,,"""Fears over the threat of Brexit to trade and resultant employment are often overdone, with some pretty big figures being bandied around regarding the potential loss to the British economy. The most striking – and most inaccurate – is that 3 to 4 million jobs, i.e. the number of people employed in exporting goods and services to the European Union, could be lost through Brexit. Given that this assumes that all exports to the Union would cease if the United Kingdom was to leave, it is a wild overstatement..."" 

https://woodfordfunds.com/economic-impact-brexit-report/",,"""However, it is unlikely that a decision to restrict the number of (EU) immigrants would have a long-run impact on the unemployment of natives.""
 
https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf",,"""It is a fallacy to say that jobs and investment will be lost as a result of Brexit. In fact Brexit, as described above, constitutes a major economic reform, similar to the many market reforms introduced by UK governments since the early 1980s and recently. Such a reform would benefit industries where we perform best and would remove subsidies from some others: jobs and investment (including foreign direct investment) will expand in the first at the expense of the latter.""

http://static1.squarespace.com/static/570a10a460b5e93378a26ac5/t/573182efcf80a12bea55ab12/1462862605164/Economists+for+Brexit+-+The+Economy+after+Brexit.pdf","""Both the coalition government and the previous Labour government used the figure that more than three million UK jobs are linked to EU membership. Two things to say about this figure: first of all, clearly not all of these jobs are dependent on the UK remaining part of the EU - nobody is suggesting that all exports to other EU countries would immediately stop if the UK left. Secondly, the methodology is a bit suspect. The Treasury worked out what proportion of the country's total economic output is made up of exports to the EU. Then it calculated that proportion of the UK labour force. And that's the answer!""

http://www.bbc.com/news/live/uk-politics-eu-referendum-35603388  ",,
,,,"Yes, because millions of jobs are linked to EU trade.",Yes (20),,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, but it may lead to lower wages.",NA,,Yes (20),,NA,,NA,,NA,,No mention (0),,,,,,,,,,
,,,"No, because jobs which depend on EU trade will be unaffected or replaced by new trade opportunities.",NA,,NA,,NA,,Yes (20),,Implied (15),,Yes (20),,,,,,,,,,
,,,"No, it is the free movement of labour associated with the EU membership that increases UK's unemployment.",NA,,,,NA,,,,,,Yes (20),,,,,,,,,,
,,,No,NA,,Yes (10),,NA,,Yes (10),,Yes (10),,Yes (10),,,,,,,,,,
4,The free movement of labour harms the UK's public services and housing market.,"Economics, Immigration",Yes,NA,,,,NA,,Yes (10),,Yes (10),,No mention (0),,"""Since the status quo in relation to labour mobility – remaining in the EU with the existing terms of membership – is optimal, alternative options, such as renegotiating the terms of Britain's membership, leaving the EU and joining the EEA, or leaving the EU and negotiating bilateral agreements with the EU, could not improve on it.""

http://www.iea.org.uk/sites/default/files/publications/files/Chapter%2006%20Freedom%20of%20movement%20Legrain.pdf",No mention,,"""Immigration is also increasing housing demand, creating upward pressure on house prices, which reduces affordability for first-time buyers. However, the UK faces a longstanding problem of weak housing supply, which would require bolder domestic policies to relax land planning regulations.""

https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf",,"""But uncontrolled and unrestricted waves of immigration may have adverse political, social and economic consequences. It goes without saying that this creates the potential for social division, as well as pressure on the UK's infrastructure and ability of public services to handle fiscal provision for migrants.""

http://static1.squarespace.com/static/570a10a460b5e93378a26ac5/t/573182efcf80a12bea55ab12/1462862605164/Economists+for+Brexit+-+The+Economy+after+Brexit.pdf ","The claim: Migration to the UK puts a heavy burden on housing stock - we would need to build 240 houses a day for 20 years to cope.""

Reality Check verdict: The sums add up. Note that the figures include migration from outside the EU and are a projection based on the past.""

http://www.bbc.com/news/uk-politics-eu-referendum-36262372","""Britain will only be able to slow or halt immigration from the rest of the EU if it pulls out of the “free movement"" agreement that lets EU nationals live and work anywhere in the bloc. Even if we vote to Leave on 23 June, this might not happen. Other countries that have chosen to remain outside the union, like Norway and Iceland, have had to accept free movement as the price of access to the EU's internal market. It's possible that Britain might not follow this option, but every serious recent economic analysis of the costs and benefits of Brexit has said that EEA membership is the least risky option.""

http://blogs.channel4.com/factcheck/factcheck-eu-immigration/23016",
,,,"Yes, EU immigrants' additional demand puts a strain on public services.",NA,,,,NA,,Yes (20),,Yes (20),,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, most EU immigrants pay more in taxes than they consume in public spending, and fill vital roles in the public services.",NA,,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,No,NA,,Yes(10),,Yes (10),,NA,,NA,,,,,,,,,,,,
5,The UK can provide better education for its citizens as an EU member.,Education,Yes,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,No mention,,No mention,"""The money in question comes from the EU's Horizon 2020 programme, which has a budget of almost €80bn over seven years running from 2014 to 2020, or just over €11bn a year. The money is paid to support research and innovation projects in companies, universities and other research organisations.""

http://www.bbc.com/news/uk-politics-eu-referendum-35998394",,"""Brexit would have an adverse impact on the UK public sector, with universities and Transport for London (TfL) facing greater downside risks through potential loss of EU funding and lower own-source revenues.""

(Moody's) 

https://www.moodys.com/research/Moodys-Universities-and-TfL-most-vulnerable-to-Brexit-risk-among--PR_348596"
,,,"Yes, because the freedom of movement is essential for European academics to work in UK universities.",Yes (20) ,,No mention,,NA,,NA,,NA,,,,,,,,,,,,
,,,"Yes, because UK universities receive additional funding from the EU, on top of what the UK government pays.",Yes (20),,No mention,,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,"Yes, because the freedom of movement allows UK students to study anywhere in the EU, in some cases for free.",NA,,Yes (20),,NA,,NA,,NA,,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, funding will not decrease because the UK can still receive education grants as a non-EU country.",NA,,NA,,NA,,No mention (0),,Yes (20),,No mention (0),,,,,,,,,,
,,,No,NA,,NA,,NA,,Implied (10),,Yes (10),,No mention (0),,,,,,,,,,
6,"Britain's EU membership harms infrastructure and public services, such as the NHS.",Healthcare,Yes,NA,,NA,,NA,,Yes (10),,Yes (10),,Yes (10),,,"""The British government could save about £10bn per year on its contributions to the European Union's budget if the country left the bloc. On the other hand, a little economic disruption and lower migration as a result of Brexit could offset these savings. The government might also continue to make some contributions to the union if it wanted to preserve single market access... We expect that Brexit would benefit the public finances, but not to a huge degree.""

https://woodfordfunds.com/economic-impact-brexit-report/",,No mention,,No mention,"""Some migration from the EU is expected but the assumptions behind these population forecasts are very unlikely to be realised. An increasing population would put additional demand on A&E but the extent of that increase has not been demonstrated.""


http://www.bbc.com/news/uk-politics-eu-referendum-36345081",,"""It's been true for 68 years of NHS history that when the British economy sneezes, the NHS catches a cold and this would be a terrible moment for that to happen at precisely the time the NHS is going to need extra investment.""

(NHS England chief executive Simon Stevens)

http://www.bbc.com/news/uk-politics-eu-referendum-36353145"
,,,"Yes, an exit would allow public services to focus on British citizens.",NA,,NA,,NA,,Implied (15),,Yes (20),,,,,,,,,,"""We don't know what deal would be done in the event of a Brexit, but if it is anything like the deals done by Norway and Switzerland it would be a decent chunk. So we don't know how much would be left over to be spent by the government on the NHS, but it is important to bear in mind just how big the NHS is, to get these figures into context.""

""Reality Check verdict: Leaving the EU would not give the UK an extra £350m a week to spend on the NHS.""

http://www.bbc.com/news/uk-politics-eu-referendum-36040060 ",,
,,,"Yes, because the contribution to the EU budget could instead be spent on UK public services and infrastructure.",NA,,NA,,NA,,Yes (10),,Yes (20),,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because the negative impact on the economy from leaving the EU would reduce funding for public services and infrastructure.",Yes (20),,Yes (20),,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because public services benefit from research funding and staffing from the EU.",Yes (20),,No mention,,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,No,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,,,,,,,,
7,The European Arrest Warrant benefits the UK's criminal justice system.,Law,Yes,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,No mention,,No mention,No mention,,"""The arrest warrant, which came into effect in 2004, was not perfect, but it was immediately useful, leading to the swift extradition of one of London's would-be bombers in July 2005, Hussain Osman, from Italy, where he had fled. The government has since amended it. It is no longer possible to be extradited to face trial for something that's not a UK offence – the so-called dual-criminality provision – and, after some courts became clogged with costly applications to extradite people on minor charges such as non-payment of parking fines, it will only apply to graver offences.""

(The Guardian)

http://www.theguardian.com/commentisfree/2014/nov/09/guardian-view-european-arrest-warrant-political-fix-proper-scrutiny"
,,,"Yes, because it compels otherwise reluctant countries to extradite criminals to the UK.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,"""The UK has actively employed the EAW, submitting more than a thousand requests to other member-states from 2010-14. Once outside the EU, the UK would have to negotiate a bilateral extradition agreement with the Union, or individual bilateral agreements with each of the EU's 27 member-states.""

(Centre for European Reform)

https://www.cer.org.uk/sites/default/files/bulletin_106_ib_article3.pdf"
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because it forces UK police to spend resources to pursue petty criminals from other countries.",NA,,NA,,NA,,No mention (0),,Yes (20),,No mention ,,,,,,,,,,
,,,"No, because it does not give the UK the autonomy to deal with warranted foreign diplomats in its territory.",NA,,,,NA,,No mention (0),,No mention (0),,No mention (0),,,,,,,,,,
,,,No,NA,,NA,,NA,,Implied (10),,Yes (10),,Yes (10),,,,,,,,,,
8,EU trade laws harm the UK more than any new post-exit relationship could.,Economics,Yes,NA,,NA,,NA,,Yes (10),,Implied (10),,,,,"""In addition, falling tariffs, the decline in manufacturing and Europe's diminishing importance in the global economy mean we doubt that even the absence of a trade deal with the European Union would hurt the United Kingdom's overall exports materially...However, the effects will vary across sectors. ""

""Striking new trade deals and, in turn, opening up fast growing markets outside Europe and improving the competitiveness of Britain's manufacturing industry and goods exports would be likely to help rebalance the economy away from its current reliance on services.""                          https://woodfordfunds.com/economic-impact-brexit-report/ ",,"""After leaving the EU, the UK would lose unrestricted access to the Single Market, and preferential access to 53 non-EU markets...Bilateral UK-EU trade would contract. Concluding a Free Trade Agreement with the EU... would provide a partial offset for UK trade by 2023. Yet, the costs of accessing the Single Market would still be higher than they are now after that time. The UK would also continue to face additional barriers on third-country markets to which preferential access was lost as a result of EU exit. Negotiating new trade treaties would take time."" 

https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf","""The analysis in this document shows that under all 3 models, the UK’s economic openness and interconnectedness would be reduced. Trade and investment flows would be lower. The UK would be permanently poorer if it left the EU and adopted any of these models.""
https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/517415/treasury_analysis_economic_impact_of_eu_membership_web.pdf ","""The UK does not need a trade deal to trade! The UK already trades heavily with many countries across the globe with which it has no trade deal. We successfully trade with these countries under the rules of the WTO and we can continue to do likewise with EU countries in future. The same is currently the case for the United States, Japan, China, and most of the world."" 

http://static1.squarespace.com/static/570a10a460b5e93378a26ac5/t/573182efcf80a12bea55ab12/1462862605164/Economists+for+Brexit+-+The+Economy+after+Brexit.pdf","""But the UK's service sector is about 80% of our economy and the City of London dominates financial services in the EU. In the negotiations that would follow a British exit from the EU everything would depend on the deal the remaining EU members wanted to cut.
And the Remain campaign insists the EU would demand the UK accepts free movement and common regulations in any deal that provides single market access. We do not know what the outcome of such negotiations would be - it is one of the biggest question marks hanging over this referendum.""

http://www.bbc.com/news/uk-politics-eu-referendum-36270203",,"""Britain can already trade where it likes around the globe – and does so on better terms from within the world's biggest trade bloc. The “Out"" campaign's talk of a lone Britain deepening ties with the Commonwealth and the US are unrealistic; these countries are either indifferent, or want Britain to stay in the EU.""

(European Council on Foreign Relations)

http://www.ecfr.eu/page/-/FP_Brexit_1141.pdf"
,,,"Yes, because the UK can directly benefit from  trade deals with other countries, thereby expanding trade.",NA,,NA,,NA,,Yes (20),,Yes (20),,Yes (20),,,,,,,,,,"""And on that matter, for example, I think it's fair to say that maybe some point down the line there might be a UK-US trade agreement, but it's not going to happen any time soon because our focus is in negotiating with a big bloc, the European Union, to get a trade agreement done.""

(Barack Obama on UK-US trade post Brexit)

http://www.telegraph.co.uk/news/2016/04/22/barack-obama-arrives-in-britain-to-tell-voters-to-remain-in-the/
"
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because the UK can secure better trade terms and avoid red tape and tariffs.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,No,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,,,,,,,,
9,Leaving the EU may cause territorial tensions within the UK.,Sovereignty,Yes,NA,,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,"""The UK itself would also face the possibility of a break up, with political leaders in Scotland having indicated that they would seek a new referendum on Scottish independence. Such developments would tighten financial conditions further.""

https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf",,No mention,No mention,"""Possibly, but it's not inevitable. The question of who has the legal right to call a referendum was never really settled last time. Instead, the governments of Scotland and the UK reached a compromise – the Edinburgh agreement. The UK government could refuse to negotiate this time. If that happened, the Scottish government could try to go ahead and hold another referendum on its own without agreement from Westminster, but this could be challenged in the courts, according to Professor Aileen McHarg from the University of Strathclyde.""

http://blogs.channel4.com/factcheck/factcheck-qa-brexit-lead-independence-scotland/22578","""Brexit would likely trigger Scottish independence and fresh violence in Northern Ireland.""

""Or, more accurately,for England to cope with – one of the most bankably predictable consequences of Brexit would be an early Scottish vote for independence within the EU, rather than continuing as part of a withdrawn UK.""

(European Council on Foreign Relations)

http://www.ecfr.eu/page/-/FP_Brexit_1141.pdf"
,,,"Yes, because it would result in Scotland and Ireland facing political instability with the UK.",NA,,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, Scotland and Northern Ireland are as eurosceptic as England.",NA,,NA,,NA,,No mention (0),,No mention (0),,No mention,,,,,,,,,,
,,,No,NA,,NA,,NA,,Implied (10),,Yes (10),,No mention,,,,,,,,,,
10,Britain is safer when it partakes in the EU bodies that address terrorism and other security concerns.,Security,Yes,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,No mention,,No mention,No mention,"""It's important to remember that Britain does not have an “open border"" with Europe in the same way that the Schengen countries – until recently – had with each other. What Iain Duncan Smith appears to be worried about is the prospect of extremists entering other EU countries as migrants and eventually getting citizenship, making it easier for them to live and work in Britain. This is a prediction, so it's impossible to prove him right or wrong. The most we can do is look at recent history, which shows that the threat from within these borders has so far been much greater than terrorists coming here from Europe – but these figures pre-date the recent surge in migration. As we have seen, experts are divided on the impact Brexit would have on the UK's ability to protect itself from security threats.""

http://blogs.channel4.com/factcheck/factcheck-brexit-protect-britain-terrorism/22588","""Post-Brexit, Britain would find it harder to keep close foreign-policy and security links with the EU, not least because it would no longer be in the room. There is a broader geopolitical point, too. Partly because its foreign-policy role has grown, the EU has become a key piece of the West's defence and security architecture. Brexit would weaken the EU—and so the West.""

(The Economist)

http://www.economist.com/news/britain/21698629-britain-safer-european-union-outside-it-security-concerns "
,,,"Yes, intelligence sharing across Europe helps Britain effectively prepare for security risks.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,"Yes, and through such system Britain takes a leading role at setting the priorities of EU security strategies.",NA,,No mention,,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,"""So my judgement, as Home Secretary, is that remaining a member of the European Union means we will be more secure from crime and terrorism.""

(Theresa May, UK's Home Secretary)

http://www.conservativehome.com/parliament/2016/04/theresa-mays-speech-on-brexit-full-text.html"
,,,"No, because countries would have shared this information regardless.",NA,,NA,,NA,,Yes (20),,Yes (20),,No mention (0),,,,,,,,,,
,,,"No, because intelligence sharing across Europe is very poor and leaks information.",NA,,NA,,NA,,No mention (0),,No mention (0),,No mention (0),,,,,,,,,,"""The terms on which we exchange data with other European countries are set by agreement within the EU… An agreement reached without us would probably be too restrictive for our needs… this could undermine our ability to protect ourselves."" 

(John Sawers, former MI6 head, and Jonathan Evans, MI5 chief) 

http://www.thetimes.co.uk/article/the-eu-cant-dictate-to-us-on-security-but-staying-in-it-can-keep-us-safer-rw6j2j72w"
,,,"No, because certain EU bodies have been misspending resources on projects that compromise UK's national security.",NA,,,,NA,,No mention (0),,No mention (0),,Yes (20),,,,,,,,,,"""Whether one is an enthusiastic European or not, the truth about Brexit from a national security perspective is that the cost to Britain would be low. Brexit would bring two potentially important security gains: the ability to dump the European Convention on Human Rights—remember the difficulty of extraditing the extremist Abu Hamza of the Finsbury Park Mosque—and, more importantly, greater control over immigration from the European Union.""

(Sir Richard Dearlove, former MI6 head)

http://www.prospectmagazine.co.uk/opinions/brexit-would-not-damage-uk-security "
,,,No,NA,,NA,,NA,,Yes (10),,Yes (10),,Yes (10),,,,,,,,,,
11,The EU is an undemocratic body that does not represent the UK's voice.,Foreign policy,Yes,NA,,NA,,NA,,Implied (10),,Yes (10),,Yes (10),,,No mention,,No mention,,No mention,"""EU commissioners on the other hand are proposed by national governments and selected by the president of the European Commission. New legislation proposed by the Commission still has to be agreed by the member states and passed by the European Parliament, which is directly elected by EU voters. So it's misleading to say unelected bureaucrats make decisions in the EU. The 28 European commissioners are meant to carry out their responsibilities independently of their national governments. In that sense, they are similar to British civil servants - politically impartial and independent of the government.""

http://www.bbc.com/news/live/uk-politics-eu-referendum-35603388",,"""Yet the European “democratic deficit"" is a myth. Such riticisms rest on a vague understanding of what the “democratic deficit"" is, ignore concrete empirical data about whether one exists, and hold the EU to the impossible standard of an idealized conception of Westminsterian or ancient-style democracy – a perfect democracy in which informed citizens participate actively on all issues.""

""The result of this analysis is unambiguous: across nearly every measureable dimension, the EU is at least as democratic, and generally more so, than its member
states.""

(Andrew Moravcsik, ""The Myth of Europe's Democratic Deficit"" )

http://www.princeton.edu/~amoravcs/library/myth_european.pdf"
,,,"Yes, because many EU officials and bureaucrats are not elected by the British people.",NA,,NA,,NA,,Yes (20),,Yes (20),,Yes (20),,,,,,,,,,
,,,"Neutral. Members of the European Parliament are democratically elected, but other officials are not.",NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because UK citizens elect members of the European Parliament.",NA,,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,No,NA,,Yes (10),,Yes (10),,NA,,NA,,,,,,,,,,,,
12,Membership in the EU reduces the UK's foreign policy influence.,Foreign policy,Yes,NA,,NA,,NA,,Implied (10),,Yes (10),,Yes (10),,,,,,,,,,
,,,"Yes, because the UK has little influence over EU's development projects abroad.",NA,,,,NA,,No mention (0),,No mention (0),,Yes (20),,,,,,,,,,
,,,"Yes, because it precludes the UK from direct representation at international bodies such as the World Trade Organisation.",NA,,NA,,NA,,Yes (20),,Yes (20),,Yes (20),,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because it gives the UK a voice in more negotiations and organisations.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,No,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,No mention,,No mention,,,"""A British exit from the EU would have major foreign policy consequences – damaging both Britain and the rest of Europe.""

""In matters of foreign policy – dealing with an outside world which, year by year, will become an ever-more pressing and vital interest to all Europeans – the single most effective reform of the EU which Cameron could deliver would be fullblooded British re-engagement.""

(European Council on Foreign Relations) 

http://www.ecfr.eu/page/-/FP_Brexit_1141.pdf"
13,Membership in the EU compromises UK sovereignty.,Sovereignty,Yes,NA,,NA,,NA,,Implied (10),,Implied (10),,Yes (10),,,No mention,,No mention,,No mention,"""The 1972 Act gave direct effect to EU law and meant that if there was a conflict between an act of the British Parliament and EU law, Parliament lost out and EU law prevailed. That meant Parliament was giving up part of its sovereignty. But it remains sovereign because it can repeal the 1972 Act, just as it can repeal any other act it has passed.""

http://www.bbc.com/news/live/uk-politics-eu-referendum-35603388",,"""Apart from EU immigration, the British government still determines the vast majority of policy over every issue of greatest concern to British voters – including health, education, pensions, welfare, monetary policy, defence and border security. The arguments for leaving also ignore the fact that the UK controls more than 98 per cent of its public expenditure ... In a world that is more interdependent today than it was when the UK joined the European Economic Community in 1973, the notion of ‘absolute' British sovereignty is illusory. It is also worthless if it limits the ability of future British governments to ensure the security and prosperity of their citizens.""

(Chatham House)

https://www.chathamhouse.org/sites/files/chathamhouse/publications/research/2016-05-09-britain-eu-sovereignty-myth-niblett-final.pdf "
,,,"Yes, because half of the UK laws are made by EU bureaucrats whom British citizens have never voted for.",NA,,NA,,NA,,Yes (20),,Implied (15),,Implied (15),,,,,,,,,,
